Symbol,Series,Date,Close,Open,High,Low,Volume
HDFC,W3,22-Sep-21,831.35,815,815,797,71400
HDFC,EQ,23-Sep-21,2734.7,2756.1,2828.5,2730,3720965
HDFC,W3,23-Sep-21,801.35,812,870,810.95,81000
HDFC,EQ,24-Sep-21,2817.4,2818.6,2850,2800,2433032
HDFC,W3,24-Sep-21,864.05,868,889.95,860,139200
HDFC,EQ,27-Sep-21,2839,2845.75,2869.4,2824.8,2684448
HDFC,W3,27-Sep-21,883.7,893.9,911.9,893.9,28800
HDFC,EQ,28-Sep-21,2839.8,2842,2850,2760.95,2645677
HDFC,W3,28-Sep-21,900,899.65,899.65,840,51000
HDFC,EQ,29-Sep-21,2804.95,2786.5,2792.95,2739.1,3333322
HDFC,W3,29-Sep-21,882.05,850,865,826,48000
HDFC,EQ,30-Sep-21,2746.45,2729.9,2785,2721.2,4186802
HDFC,W3,30-Sep-21,841.4,840,850,832.05,6600
HDFC,EQ,01-Oct-21,2754.3,2738.6,2752,2693.6,2462648
HDFC,W3,01-Oct-21,832.05,825,826,796,40200
HDFC,BL,04-Oct-21,2464.3,2711.65,2711.65,2711.65,1626963
HDFC,EQ,04-Oct-21,2711.65,2740.15,2770,2720.6,2170643
HDFC,W3,04-Oct-21,807,825,840.05,823.2,97800
HDFC,EQ,05-Oct-21,2725.2,2720,2754.95,2715.45,2125952
HDFC,W3,05-Oct-21,827.3,815.1,830,815.1,60600
HDFC,EQ,06-Oct-21,2741.45,2729,2795,2717,3585605
HDFC,W3,06-Oct-21,822.4,839.95,849,811.65,22200
HDFC,EQ,07-Oct-21,2750.95,2770.7,2774.95,2722.6,2247842
HDFC,W3,07-Oct-21,820.35,821.2,828.95,815,6600
HDFC,EQ,08-Oct-21,2727,2731,2745.6,2716,1719442
HDFC,W3,08-Oct-21,817.65,815.1,825,811,9600
HDFC,EQ,11-Oct-21,2720.65,2739,2769,2726.8,1773236
HDFC,W3,11-Oct-21,817.9,818,839,818,23400
HDFC,EQ,12-Oct-21,2749.25,2749.7,2767,2735,1405800
HDFC,W3,12-Oct-21,827.45,829.15,840.05,818,10800
HDFC,EQ,13-Oct-21,2755.1,2775,2775,2748.2,1513606
