Date,Open,High,Low,Close,Volume
01-Jul-21,710,712,702,711.35,42000
02-Jul-21,2463,2480,2445,2459.4,1951251
02-Jul-21,703.4,708.9,695.1,705,90000
05-Jul-21,2489.3,2496.8,2471.2,2475.7,1234739
05-Jul-21,705,705,695,702.8,49800
06-Jul-21,2492.6,2518.9,2490.2,2494.9,1428812
06-Jul-21,701,715,700,699.25,36600
07-Jul-21,2503.85,2545.8,2495.2,2496.4,2542003
07-Jul-21,709,730.05,706,703.15,38400
08-Jul-21,2535,2543.85,2508,2529.2,2683729
08-Jul-21,715,720,698,720.9,34800
09-Jul-21,2504.1,2509,2484.85,2512.05,1348273
09-Jul-21,695,712,693,700.35,15600
12-Jul-21,2503,2511,2452.2,2496.45,6818026
12-Jul-21,700,704.8,683.25,696.8,28200
13-Jul-21,2496,2549.95,2487.75,2476.95,3716936
13-Jul-21,709,730.05,704.1,693.9,36600
14-Jul-21,2544,2544.9,2516,2544.9,2725020
14-Jul-21,720,744,720,729,53400
15-Jul-21,2539,2555,2516,2531.1,3272479
15-Jul-21,725.2,751.9,725.2,740.05,42000
16-Jul-21,2548,2558,2531.5,2540.1,1568532
16-Jul-21,745,745.05,727,732.65,7200
19-Jul-21,2488,2497.7,2470.9,2536.9,2262325
19-Jul-21,700.05,708.9,695.25,727.65,55800
20-Jul-21,2481.65,2481.65,2481.65,1814.2,172808
20-Jul-21,2470,2480.5,2450,2481.65,1731830
20-Jul-21,691.15,697,690,698,26400
22-Jul-21,2470.1,2493.05,2465.5,2458.75,1792789
22-Jul-21,705.5,709.7,691,690.4,28800
23-Jul-21,2497.8,2501.6,2470,2490.3,1275979
23-Jul-21,692,700,688,695.4,16800
26-Jul-21,2485,2485,2460,2482.5,1462225
26-Jul-21,690,690,684.95,696.95,15000
27-Jul-21,2464.3,2464.3,2464.3,2481.65,165944
27-Jul-21,2470.9,2474,2430,2464.3,2680260
27-Jul-21,685,689,675.1,684.95,34200
28-Jul-21,2417.1,2432.45,2380,2433.95,3988878
28-Jul-21,655.1,673.8,652,675.9,41400
29-Jul-21,2424,2433.65,2405.1,2425.8,3288676
29-Jul-21,666.95,685,662,665.15,31800
30-Jul-21,2417.95,2464.7,2414.8,2414.8,4128459
30-Jul-21,686,690,676.3,680,14400
02-Aug-21,2466,2487,2425.1,2441.15,5009133
02-Aug-21,690,705.05,670.2,680,52200
03-Aug-21,2515,2560,2476,2462.05,5962929
03-Aug-21,695,748.7,690,681.5,196800
04-Aug-21,2573.3,2681,2565,2554.65,9604932
04-Aug-21,781.8,815,745.5,744.05,148200
05-Aug-21,2680,2685,2644.3,2676.05,4021021
05-Aug-21,803,810,799.95,808.85,16800
06-Aug-21,2657,2673,2621.4,2661.7,2139764
06-Aug-21,795,801.95,781,803.95,7200
09-Aug-21,2632.05,2646.25,2599.9,2628.1,1751767
09-Aug-21,782,783,757.5,781.65,27000
10-Aug-21,2634.7,2678.7,2626.85,2623.9,4690741
10-Aug-21,775,805,775,772.45,39000
11-Aug-21,2675,2689.5,2633.75,2671.65,1769627
11-Aug-21,797.95,810,762,792.55,49200
12-Aug-21,2656.6,2675.25,2646.6,2658.5,1702479
12-Aug-21,784.7,784.7,770,770,8400
13-Aug-21,2662,2715,2662,2668.75,3248615
13-Aug-21,790,811,790,777.8,36600
16-Aug-21,2696.8,2734.45,2693.8,2704.15,2465887
16-Aug-21,816.95,817.5,807,804,37800
17-Aug-21,2729.95,2750,2707.15,2731.15,2795510
17-Aug-21,807,819,801,811.4,48600
18-Aug-21,2750,2770.3,2698,2738.4,2501410
